PC1,PC2,CellType,Fold
-3.0846798295541995,0.2792737567359486,LX-2,Fold1
-0.7578786735096726,-0.7800736381081479,Hep3B,Fold1
0.5091243629051533,0.5703239969919178,HepG2,Fold1
1.5848964815514628,0.10512771676325748,Huh-7,Fold1
1.8001973006876046,-0.11243366484170694,MHCC97H,Fold1
-3.107970775650372,0.28503409608516367,LX-2,Fold2
-0.8337700474566064,-0.7504707599404201,Hep3B,Fold2
0.6135678298905337,0.48695209694705893,HepG2,Fold2
1.612151169092929,0.116307874081843,Huh-7,Fold2
1.715648420985682,-0.23141594770483634,MHCC97H,Fold2
-3.063717895556509,0.30648936752579004,LX-2,Fold3
-0.7758238459649195,-0.8673681280098203,Hep3B,Fold3
0.5715354956514466,0.5381545371357997,HepG2,Fold3
1.588691488042148,0.04431875281802754,Huh-7,Fold3
1.8116664043967656,-0.11686360387986904,MHCC97H,Fold3
-3.074703088934343,0.30025356439124473,LX-2,Fold4
-0.8571844182654823,-0.8570164582728079,Hep3B,Fold4
0.5491034679831138,0.6610493530249388,HepG2,Fold4
1.5247401603984663,0.1316763893162124,Huh-7,Fold4
1.807275596145595,-0.08034369315377407,MHCC97H,Fold4
-3.100593184208967,0.29859084198948654,LX-2,Fold5
-0.8391380164426107,-0.8647304135841665,Hep3B,Fold5
0.4708639027729828,0.5177640227074752,HepG2,Fold5
1.596487390625993,0.14646853478307767,Huh-7,Fold5
1.7395103044138038,-0.12706859380169439,MHCC97H,Fold5
