,PC1,PC2
miR-141,0.7167132304598502,-0.2996560050659207
miR-155,0.793381255233486,-0.03440078996701173
miR-21,0.9076215322338476,-0.05908247492865534
miR-221,0.8963644134810914,0.011981371714376006
miR-222,0.7692623129586308,0.37041359200359386
